median_age,life_expectancy,total_cases_per_million,gdp_per_capita,hospital_beds_per_thousand,people_fully_vaccinated_per_hundred,stringency_index,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
27.32200050354004,75.90679931640625,124194.32,9848.953125,2.2100000381469727,59.39779,48.15736313868613,0.0,0.0,0.0,0.0,0.0
37.499000549316406,79.98410034179688,439491.7,79675.859375,2.3799999952316284,84.75911,43.27303832116788,0.0,0.0,1.0,0.0,0.0
14.29800033569336,18.817699432373047,3039.0122,1111.2193603515625,1.0,48.74395,23.903476277372263,0.0,0.0,0.0,0.0,0.0
15.10200023651123,54.52750015258789,417.33228,2412.865966796875,0.1500000059604644,27.202782,36.31362226277373,0.0,0.0,0.0,0.0,0.0
35.5260009765625,79.17620086669922,276710.22,30182.787109375,1.940000057220459,90.523636,51.38692518248176,0.0,0.0,0.0,0.0,1.0
38.53400039672852,78.20210266113281,69732.8,23845.619140625,5.630000114440918,90.12756,73.31321167883212,1.0,0.0,0.0,0.0,0.0
31.18099975585937,76.50810241699219,123764.08,18477.21484375,1.7000000476837158,71.90879,50.66514598540146,0.0,0.0,0.0,0.0,1.0
20.10199928283692,66.48059844970703,10919.562,3482.534912109375,2.3799999952316284,47.60061,43.27303832116788,0.0,0.0,0.0,0.0,0.0
18.20199966430664,65.00029754638672,4181.2036,6181.470703125,2.3799999952316284,10.838571,43.53104927007299,0.0,0.0,0.0,0.0,0.0
34.10900115966797,75.07869720458984,500101.72,18068.505859375,2.3799999952316284,99.87116,43.27303832116788,0.0,0.0,0.0,1.0,0.0
33.5359992980957,79.31639862060547,244547.77,26973.435546875,1.1399999856948853,85.98951,43.3070802919708,0.0,0.0,1.0,0.0,0.0
17.992000579833984,61.562198638916016,135538.2,6747.0380859375,2.3799999952316284,40.020737,24.87639598540146,0.0,0.0,0.0,0.0,0.0
44.61100006103516,78.27790069580078,351078.1,42829.19921875,5.599999904632568,57.63479,33.40400547445255,0.0,1.0,0.0,0.0,0.0
41.505001068115234,77.62909698486328,100709.94,18068.505859375,4.329999923706055,90.90253,48.01255474452555,0.0,0.0,1.0,0.0,0.0
37.95399856567383,76.72869873046875,247547.88,28762.05859375,2.3799999952316284,54.42946,43.27303832116788,0.0,0.0,1.0,0.0,0.0
37.3390007019043,80.43370056152344,764467.6,52635.58203125,2.150000095367432,69.774,45.09606751824818,0.0,1.0,0.0,0.0,0.0
42.64500045776367,79.16480255126953,457906.6,47963.8984375,6.539999961853027,64.60811,39.48719890510949,0.0,1.0,0.0,0.0,0.0
15.765999794006348,60.97890090942383,986.45496,1602.074951171875,2.3799999952316284,14.062447,37.43197080291971,0.0,0.0,0.0,0.0,0.0
